asset,entry_time,method,stop_pct,trades,gross_pnl,fees,net_pnl,avg_pnl,median_pnl,win_rate,avg_profitable_trade,avg_losing_trade,payoff_ratio,profit_factor,sharpe_daily_annualized,max_drawdown,max_drawdown_duration_days,max_drawdown_duration_trades,max_drawdown_date,recovery_date,recovered,max_consecutive_wins,max_consecutive_losses,best_trade,worst_trade,cvar_95
BTC,13:45,leg_independent,150,191,969.18,819.65,149.53,0.7829,1.1191,0.5079,35.6413,-35.1881,1.0129,1.0452,0.3367,392.43,112,111,2026-03-13,2026-06-03,True,6,7,132.51,-135.93,-83.8
BTC,14:00,combined,50,191,-104.77,795.1,-899.87,-4.7113,5.329,0.5183,35.6612,-48.1557,0.7405,0.7969,-1.8499,1100.23,186,186,2026-06-26,,False,8,5,124.1,-188.89,-93.79
BTC,14:00,combined,100,191,-600.0,784.91,-1384.92,-7.2509,10.2348,0.5602,35.1178,-61.2205,0.5736,0.7307,-2.3953,1609.1,156,156,2026-06-26,,False,11,4,124.1,-195.36,-138.23
BTC,14:00,combined,150,191,-1152.89,781.9,-1934.79,-10.1298,11.2721,0.5759,34.8677,-71.2375,0.4895,0.6647,-2.8317,2285.24,156,156,2026-06-26,,False,11,4,124.1,-334.81,-188.48
BTC,14:00,leg_both,50,191,336.08,935.18,-599.1,-3.1366,-6.4923,0.2618,18.5416,-10.8239,1.713,0.6075,-3.0373,601.47,190,191,2026-07-09,,False,3,12,124.1,-41.36,-27.31
BTC,14:00,leg_both,100,191,-292.27,861.58,-1153.85,-6.0411,-11.8083,0.2984,32.8703,-22.5929,1.4549,0.6189,-3.3759,1181.05,167,167,2026-07-09,,False,5,11,124.1,-188.89,-71.27
BTC,14:00,leg_both,150,191,-280.04,824.07,-1104.11,-5.7807,-12.8521,0.4084,35.6412,-34.3728,1.0369,0.7157,-2.5707,1143.51,186,186,2026-07-07,,False,6,9,124.1,-188.89,-96.07
BTC,14:00,leg_independent,50,191,599.4,886.52,-287.12,-1.5033,4.8627,0.5759,19.3629,-29.8401,0.6489,0.8812,-0.7772,592.97,126,126,2026-03-25,,False,9,5,124.1,-277.61,-92.5
BTC,14:00,leg_independent,100,191,123.8,835.96,-712.16,-3.7286,-5.8258,0.4136,26.4332,-25.0034,1.0572,0.7457,-1.9621,768.46,160,160,2026-07-09,,False,6,9,124.1,-188.89,-86.26
BTC,14:00,leg_independent,150,191,88.78,807.81,-719.03,-3.7645,-8.6844,0.4293,34.2009,-32.3257,1.058,0.7959,-1.7016,763.69,186,186,2026-07-07,,False,6,9,124.1,-188.89,-97.43
BTC,14:15,combined,50,191,476.57,778.02,-301.45,-1.5783,1.6835,0.5131,36.6716,-41.8846,0.8755,0.9226,-0.6575,829.84,159,159,2026-06-26,,False,7,4,127.62,-191.98,-87.54
BTC,14:15,combined,100,191,276.11,767.22,-491.11,-2.5713,9.2499,0.5707,36.0699,-53.9357,0.6688,0.889,-0.9002,1086.96,159,159,2026-06-26,,False,12,4,127.62,-191.98,-129.4
BTC,14:15,combined,150,191,109.01,765.34,-656.33,-3.4363,11.9018,0.5812,35.9959,-58.1484,0.619,0.8589,-1.1005,1107.96,159,159,2026-06-26,,False,12,4,127.62,-191.98,-158.61
BTC,14:15,leg_both,50,191,63.43,920.09,-856.66,-4.4851,-6.1403,0.2461,13.0126,-10.1962,1.2762,0.4165,-6.0842,865.76,187,187,2026-07-10,,False,6,15,69.06,-41.16,-26.95
BTC,14:15,leg_both,100,191,54.1,838.21,-784.11,-4.1053,-11.6421,0.3351,29.0431,-20.81,1.3956,0.7033,-2.7044,823.86,187,187,2026-07-10,,False,6,12,127.62,-63.71,-47.88
BTC,14:15,leg_both,150,191,359.49,793.66,-434.17,-2.2731,-10.0376,0.4398,36.3846,-32.6213,1.1154,0.8756,-1.0369,691.9,160,160,2026-06-26,,False,5,9,127.62,-191.98,-85.43
BTC,14:15,leg_independent,50,191,178.7,879.55,-700.85,-3.6694,3.2481,0.555,16.8941,-29.3132,0.5763,0.7187,-2.0317,920.98,164,164,2026-07-08,,False,8,9,69.06,-263.62,-93.44
